run_index,sort_order,timestamp,elapsed_time[s],peak_mem_MB,CSLOW_MODE,Allow_BRAM,UseDSP48s,NUM_TERMS,NUM_COPIES,PAR_MODE,repl_index,Slices,Slice-FF,4-LUT,Bonded I/O,DSP48,BRAMs,Syn_minorClk_T,Syn_majorClk_T,Par_minorClk_T,Par_majorClk_T,Syn_minorClk_Freq,Syn_majorClk_Freq,Par_minorClk_Freq,Par_majorClk_Freq,Syn_selClk_T,Par_selClk_T,Syn_selClk_Freq,Par_selClk_Freq,Stream_Freq,Total_Throughput
1439,745,Sun Feb  9 03:28:43 2014,191.47719597816467,854.0,MANPIPE,NO,Auto,16,8,VIRT,5,1063,1093,981,74,43,0,1.9888000000000002e-08,4.802e-09,2.5937000000000003e-08,4.075e-09,50281576.83024939,208246563.93169513,38554960.095616296,245398773.00613496,1.9888000000000002e-08,2.5937000000000003e-08,50281576.83024939,38554960.095616296,4819370.011952037,38554960.095616296
1440,755,Sun Feb  9 03:28:58 2014,191.33587408065796,864.0,MANPIPE,NO,Auto,16,9,VIRT,5,1236,1388,1315,74,43,0,1.6848e-08,5.070000000000001e-09,2.1507000000000002e-08,3.5000000000000003e-09,59354226.02089269,197238658.7771203,46496489.51504161,285714285.7142857,1.6848e-08,2.1507000000000002e-08,59354226.02089269,46496489.51504161,5166276.612782401,46496489.51504161
1441,765,Sun Feb  9 03:29:58 2014,191.74113011360168,863.0,MANPIPE,NO,Auto,16,10,VIRT,5,1328,1353,1145,74,43,0,1.5923e-08,5.1630000000000005e-09,2.1121e-08,4.1600000000000005e-09,62802235.75959304,193685841.56498158,47346243.07561195,240384615.38461536,1.5923e-08,2.1121e-08,62802235.75959304,47346243.07561195,4734624.3075611945,47346243.07561195
1442,775,Sun Feb  9 03:29:59 2014,212.6350519657135,873.0,MANPIPE,NO,Auto,16,12,VIRT,5,1627,2021,1301,74,43,0,1.3047000000000001e-08,5.480000000000001e-09,1.628e-08,3.729000000000001e-09,76645972.25415803,182481751.82481748,61425061.42506142,268168409.76133007,1.3047000000000001e-08,1.628e-08,76645972.25415803,61425061.42506142,5118755.118755118,61425061.42506142
1444,795,Sun Feb  9 03:32:13 2014,201.56831812858582,870.0,MANPIPE,NO,Auto,16,16,VIRT,5,1777,1995,1361,74,43,0,1.1486000000000001e-08,5.962e-09,1.6581e-08,4.132e-09,87062510.88281386,167728950.0167729,60309993.365900725,242013552.7589545,1.1486000000000001e-08,1.6581e-08,87062510.88281386,60309993.365900725,3769374.5853687953,60309993.365900725
1443,785,Sun Feb  9 03:31:58 2014,227.9602210521698,874.0,MANPIPE,NO,Auto,16,14,VIRT,5,1658,2144,1421,74,43,0,1.3017e-08,5.7510000000000005e-09,1.574e-08,3.4860000000000006e-09,76822616.57832065,173882802.9907842,63532401.524777636,286861732.64486516,1.3017e-08,1.574e-08,76822616.57832065,63532401.524777636,4538028.68034126,63532401.524777636
1445,805,Sun Feb  9 03:33:13 2014,231.00318503379822,889.0,MANPIPE,NO,Auto,16,20,VIRT,5,2720,3386,1678,74,43,0,9.055e-09,6.305e-09,1.3976000000000002e-08,4.336000000000001e-09,110436223.08117062,158604282.3156225,71551230.6811677,230627306.2730627,9.055e-09,1.3976000000000002e-08,110436223.08117062,71551230.6811677,3577561.5340583855,71551230.6811677
1446,815,Sun Feb  9 03:33:43 2014,237.2928910255432,882.0,MANPIPE,NO,Auto,16,24,VIRT,5,2346,2640,1838,74,43,0,8.895e-09,6.803000000000001e-09,1.5088e-08,4.518e-09,112422709.38729624,146993973.24709687,66277836.69141039,221336874.7233289,8.895e-09,1.5088e-08,112422709.38729624,66277836.69141039,2761576.5288087665,66277836.69141039
1448,835,Sun Feb  9 03:35:58 2014,191.64677786827087,853.0,MANPIPE,NO,Auto,20,1,VIRT,5,362,199,434,58,55,0,1.48744e-07,3.3060000000000004e-09,1.6935200000000002e-07,3.1000000000000005e-09,6722960.253858979,302480338.7779794,5904860.881477632,322580645.1612903,1.48744e-07,1.6935200000000002e-07,6722960.253858979,5904860.881477632,5904860.881477632,5904860.881477632
1447,825,Sun Feb  9 03:35:43 2014,251.26310801506042,889.0,MANPIPE,NO,Auto,16,28,VIRT,5,2604,3008,2222,74,43,0,8.895e-09,7.190000000000001e-09,1.2411000000000001e-08,5.261000000000001e-09,112422709.38729624,139082058.4144645,80573684.63459833,190077931.95210034,8.895e-09,1.2411000000000001e-08,112422709.38729624,80573684.63459833,2877631.5940927975,80573684.63459833
